Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
Annie,20911262,85911262,65000000,5.3
The Theory of Everything,20893537,35893537,15000000,7.7
Chef,20424003,31424003,11000000,7.3
The Giver,20090374,45090374,25000000,6.5
That Awkward Moment,18068955,26068955,8000000,6.1
Fury,17817906,85817906,68000000,7.6
"As Above, So Below",16321100,21321100,5000000,6.2
When the Game Stands Tall,15127963,30127963,15000000,6.7
This Is Where I Leave You,14496320,34296320,19800000,6.6
Still Alice,13754371,18754371,5000000,7.5
It Follows,13674076,14674076,1000000,6.8
A Haunted House 2,13329486,17329486,4000000,4.7
Top Five,13317471,25317471,12000000,6.4
Black or White,12571189,21571189,9000000,6.6
Horrible Bosses 2,12445357,54445357,42000000,6.3
Million Dollar Arm,11457627,36457627,25000000,7
The November Man,10018119,25018119,15000000,6.3
Whiplash,9792000,13092000,3300000,8.5
Planes: Fire & Rescue,9165787,59165787,50000000,6
Devil's Due,8821461,15821461,7000000,4.1
The Gambler,8680992,33680992,25000000,6
The Monuments Men,8031620,78031620,70000000,6.1
Beyond the Lights,7618727,14618727,7000000,6.9
Jersey Boys,7047013,47047013,40000000,6.8
Blended,6294610,46294610,40000000,6.5
Moms' Night Out,5429707,10429707,5000000,5.4
The Hobbit: The Battle of the Five Armies,5119788,255119788,250000000,7.4
Big Eyes,4482031,14482031,10000000,7
Draft Day,3842237,28842237,25000000,6.8
Endless Love,3438250,23438250,20000000,6.3
A Million Ways to Die in the West,3139300,43139300,40000000,6.1
The Amazing Spider-Man 2,2853933,202853933,200000000,6.6
3 Days to Kill,2697999,30697999,28000000,6.2
Love & Mercy,2551031,12551031,10000000,7.4
Saving Christmas,2283970,2783970,500000,1.4
A Most Wanted Man,2237855,17237855,15000000,6.8
Muppets Most Wanted,1183113,51183113,50000000,6.4
The Best of Me,766213,26766213,26000000,6.7
Get on Up,703100,30703100,30000000,6.9
Deliver Us from Evil,577122,30577122,30000000,6.2
The One I Love,413447,513447,100000,7.1
The Book of Life,151543,50151543,50000000,7.3
God's Pocket,-830024,169976,1000000,6.1
Camp X-Ray,-986698,13302,1000000,6.9
Honeymoon,-990682,9318,1000000,5.7
Tusk,-1173295,1826705,3000000,5.3
Clown,-1444993,55007,1500000,5.7
Sex Tape,-1456527,38543473,40000000,5.1
A Walk Among the Tombstones,-1692400,26307600,28000000,6.5
Rosewater,-1871059,3128941,5000000,6.6
The Drop,-1875611,10724389,12600000,7.1
Lost River,-1954569,45431,2000000,5.7
Left Behind,-1980076,14019924,16000000,3.1
Life After Beth,-2311727,88273,2400000,5.6
Into the Storm,-2397806,47602194,50000000,5.8
Wish I Was Here,-2408701,3591299,6000000,6.7
The Disappearance of Eleanor Rigby: Them,-2412226,587774,3000000,6.3
While We're Young,-2412515,7587485,10000000,6.3
Veronica Mars,-2677873,3322127,6000000,6.8
And So It Goes,-2839199,15160801,18000000,5.8
The Judge,-2880612,47119388,50000000,7.4
The Signal,-3399104,600896,4000000,6.1
300: Rise of an Empire,-3419949,106580051,110000000,6.2
The Pyramid,-3743667,2756333,6500000,4.6
Laggies,-3933019,1066981,5000000,6.4
13 Sins,-3986191,13809,4000000,6.3
The Guest,-4667110,332890,5000000,6.7
Better Living Through Chemistry,-4924857,75143,5000000,6.3
Rudderless,-4941707,58293,5000000,7.5
Cake,-5048224,1951776,7000000,6.4
Infinitely Polar Bear,-5269345,1430655,6700000,7
Barefoot,-5984929,15071,6000000,6.6
Magic in the Moonlight,-6260674,10539326,16800000,6.5
99 Homes,-6588073,1411927,8000000,7.1
Brick Mansions,-7603171,20396829,28000000,5.7
The Loft,-7997316,6002684,14000000,6.3
The Boxtrolls,-9162695,50837305,60000000,6.8
Jack Ryan: Shadow Recruit,-9422588,50577412,60000000,6.2
The Rover,-10885577,1114423,12000000,6.4
Inherent Vice,-11889025,8110975,20000000,6.7
Foxcatcher,-11903700,12096300,24000000,7
Night at the Museum: Secret of the Tomb,-13253379,113746621,127000000,6.2
The Homesman,-13570011,2429989,16000000,6.6
Dracula Untold,-13719645,56280355,70000000,6.3
A Most Violent Year,-14250866,5749134,20000000,7
Maps to the Stars,-14649259,350741,15000000,6.2
"Men, Women & Children",-15294092,705908,16000000,6.7
Pawn Sacrifice,-16563367,2436633,19000000,7
The Good Lie,-17277791,2722209,20000000,7.4
The Water Diviner,-18303359,4196641,22500000,7
Before I Go to Sleep,-18757543,3242457,22000000,6.3
Vampire Academy,-22208021,7791979,30000000,5.5
Need for Speed,-22422364,43577636,66000000,6.4
Noah,-23799956,101200044,125000000,5.7
Sabotage,-24491482,10508518,35000000,5.7
Hercules,-27311386,72688614,100000000,6
Serena,-29823609,176391,30000000,5.4
Step Up All In,-30095616,14904384,45000000,6
The Two Faces of January,-30492537,507463,31000000,6.2
Mr. Peabody & Sherman,-33493570,111506430,145000000,6.8
The Interview,-37894825,6105175,44000000,6.5
RoboCop,-41392993,58607007,100000000,6.1
"I, Frankenstein",-45924710,19075290,65000000,5.1
Winter's Tale,-47399769,12600231,60000000,6.2
Penguins of Madagascar,-48149089,83850911,132000000,6.7
The Expendables 3,-50677456,39322544,90000000,6.1
The Legend of Hercules,-51151462,18848538,70000000,4.2
Sin City: A Dame to Kill For,-51242196,13757804,65000000,6.5
Exodus: Gods and Kings,-74985487,65014513,140000000,6
Pompeii,-76780252,23219748,100000000,5.5
Transcendence,-76977691,23022309,100000000,6.3
Seventh Son,-77776735,17223265,95000000,5.5
Edge of Tomorrow,-77793744,100206256,178000000,7.9
2015,2948447163,10079147163,7130700000,1002.5
Star Wars: Episode VII - The Force Awakens,691662225,936662225,245000000,7.9
Jurassic World,502270625,652270625,150000000,7
Minions,262045770,336045770,74000000,6.4
Avengers: Age of Ultron,209005868,459005868,250000000,7.3
Inside Out,181921711,356921711,175000000,8.1
Fast & Furious 7,163007020,353007020,190000000,7.1
Pitch Perfect 2,155296230,184296230,29000000,6.4
Straight Outta Compton,133197785,161197785,28000000,7.8
Fifty Shades of Grey,126167230,166167230,40000000,4.1
The Hunger Games: Mockingjay - Part 2,121723902,281723902,160000000,6.5
The Martian,120433663,228433663,108000000,8
Cinderella,106151353,201151353,95000000,6.9
Daddy's Home,100357137,150357137,50000000,6.2
Hotel Transylvania 2,89700110,169700110,80000000,6.7
The SpongeBob Movie: Sponge Out of Water,88994032,162994032,74000000,6
Trainwreck,75212700,110212700,35000000,6.2
Creed,74767581,109767581,35000000,7.6
War Room,64790117,67790117,3000000,6.5
The Visit,60206105,65206105,5000000,6.2
Sisters,57044645,87044645,30000000,6
Magic Mike XXL,51213057,66013057,14800000,5.6
Get Hard,50411453,90411453,40000000,6
Ant-Man,50202163,180202163,130000000,7.3
The Revenant,48637894,183637894,135000000,8
Spy,45825712,110825712,65000000,7
San Andreas,45190832,155190832,110000000,6.1
Mission: Impossible - Rogue Nation,45042377,195042377,150000000,7.4
Home,42397510,177397510,135000000,6.6
The Big Short,42259870,70259870,28000000,7.8
Insidious: Chapter 3,42218558,52218558,10000000,6.1
The Wedding Ringer,41460211,64460211,23000000,6.6
Paul Blart: Mall Cop 2,41038190,71038190,30000000,4.4
The Intern,40764672,75764672,35000000,7.1
The Gift,38787265,43787265,5000000,7
Bridge of Spies,32313754,72313754,40000000,7.6
The Boy Next Door,31423380,35423380,4000000,4.7
The Peanuts Movie,31178411,130178411,99000000,7.1
Vacation,27884188,58884188,31000000,6.1
Krampus,27725475,42725475,15000000,6.1
"McFarland, USA",27482410,44482410,17000000,7.4
Brooklyn,27322743,38322743,11000000,7.5
The Duff,25530343,34030343,8500000,6.5
Spotlight,25055776,45055776,20000000,8.1
The Second Best Exotic Marigold Hotel,23078266,33078266,10000000,6.6
The Gallows,22664410,22764410,100000,4.2
Max,22656255,42656255,20000000,6.7
The Lazarus Effect,22501570,25801570,3300000,5.2
Southpaw,22421953,52421953,30000000,7.4
Goosebumps,22080379,80080379,58000000,6.3
A Walk in the Woods,21504281,29504281,8000000,6.3
The VVitch: A New-England Folktale,21138705,25138705,4000000,6.9
Maze Runner: The Scorch Trials,20697192,81697192,61000000,6.3
Insurgent,20179072,130179072,110000000,6.2
Paper Towns,20000304,32000304,12000000,6.3
The Night Before,18047372,43047372,25000000,6.4
Sinister 2,17740955,27740955,10000000,5.3
The Age of Adaline,17629776,42629776,25000000,7.2
Sicario,16889293,46889293,30000000,7.6
Ted 2,13476385,81476385,68000000,6.3
"Hello, My Name Is Doris",13444999,14444999,1000000,6.6
Poltergeist,12425125,47425125,35000000,4.9
No Escape,11088872,27288872,16200000,6.8
Dope,10506470,17506470,7000000,7.2
Project Almanac,10348241,22348241,12000000,6.4
The Hateful Eight,10117416,54117416,44000000,7.8
Black Mass,9575678,62575678,53000000,6.9
Love the Coopers,9302731,26302731,17000000,5.8
Ricki and the Flash,8822144,26822144,18000000,5.9
Paranormal Activity: The Ghost Dimension,8300124,18300124,10000000,4.6
Hardcore Henry,7252038,9252038,2000000,6.7
Mr. Holmes,6737646,17737646,11000000,6.9
Grandma,6380524,6980524,600000,6.7
Focus,3762963,53862963,50100000,6.6
The Longest Ride,3446117,37446117,34000000,7.1
Entourage,2363404,32363404,30000000,6.6
Room,1677654,14677654,13000000,8.1
We Are Your Friends,1591417,3591417,2000000,6.2
The Meddler,1067218,4267218,3200000,6.3
Carol,911491,12711491,11800000,7.2
Secret in Their Eyes,680155,20180155,19500000,6.3
Tangerine,602354,702354,100000,7.1
Hot Pursuit,-419799,34580201,35000000,5.1
Concussion,-457526,34542474,35000000,7.1
The Diary of a Teenage Girl,-522998,1477002,2000000,6.9
Cop Car,-665448,134552,800000,6.3
Me and Earl and the Dying Girl,-1241584,6758416,8000000,7.7
Hot Tub Time Machine 2,-1685349,12314651,14000000,5.1
Green Room,-1779629,3220371,5000000,7
The D Train,-2326849,673151,3000000,5
Knock Knock,-2463664,36336,2500000,4.9
Joy,-3548768,56451232,60000000,6.6
The Danish Girl,-3885982,11114018,15000000,7.1
Alvin and the Chipmunks: The Road Chip,-4113013,85886987,90000000,5
Anomalisa,-4240714,3759286,8000000,7.3
Danny Collins,-4362934,5637066,10000000,7
Area 51,-4992444,7556,5000000,4.2
Mississippi Grind,-5869459,130541,6000000,6.4
Beasts of No Nation,-5909223,90777,6000000,7.7
The Man Who Knew Infinity,-6133206,3866794,10000000,7.2
The Vatican Tapes,-6215237,1784763,8000000,4.8
Burnt,-6348054,13651946,20000000,6.6
Freeheld,-6426665,573335,7000000,6.6
Irrational Man,-6969640,4030360,11000000,6.6
Truth,-7058146,2541854,9600000,6.8
Trumbo,-7142259,7857741,15000000,7.5
Eddie the Eagle,-7210611,15789389,23000000,7.4
Z for Zachariah,-7378539,121461,7500000,6
Mr. Right,-7965306,34694,8000000,6.3
Demolition,-8021408,1978592,10000000,7
Heist,-8849864,50136,8900000,6.1
Pixels,-9252415,78747585,88000000,5.5
By the Sea,-9461540,538460,10000000,5.3
Louder Than Bombs,-10836193,163807,11000000,6.6
Scouts Guide to the Zombie Apocalypse,-11296954,3703046,15000000,6.3
Everest,-11517730,43482270,55000000,7.1
Rock the Kasbah,-11979336,3020664,15000000,5.5
Steve Jobs,-12233342,17766658,30000000,7.2
Hitman: Agent 47,-12532550,22467450,35000000,5.7
Little Boy,-13514039,6485961,20000000,7.4
American Ultra,-13559015,14440985,28000000,6.1
Self/less,-13720309,12279691,26000000,6.5
The 33,-13772278,12227722,26000000,6.9
Macbeth,-13889293,1110707,15000000,6.6
Colonia,-13984291,15709,14000000,7.1
Barely Lethal,-14993925,6075,15000000,5.4
Aloha,-15932884,21067116,37000000,5.4
Equals,-15966742,33258,16000000,6.1
Chappie,-17430732,31569268,49000000,6.8
Dark Places,-19791412,208588,20000000,6.2
Our Brand Is Crisis,-20997739,7002261,28000000,6.1
Jane Got a Gun,-23486207,1513793,25000000,5.9
Run All Night,-23538356,26461644,50000000,6.6
Crimson Peak,-23909680,31090320,55000000,6.5
Unfinished Business,-24780499,10219501,35000000,5.4
The Walk,-24862498,10137502,35000000,7.3
The Sea of Trees,-24979556,20444,25000000,6.1
Legend,-28127006,1872994,30000000,6.9
The Gunman,-29335251,10664749,40000000,5.8
Bilal: A New Breed of Hero,-29509027,490973,30000000,7.9
The Man from U.N.C.L.E.,-29554891,45445109,75000000,7.3
Spectre,-44925391,200074609,245000000,6.8
Child 44,-48775670,1224330,50000000,6.5
Mortdecai,-52303866,7696134,60000000,5.5
Victor Frankenstein,-59224924,5775076,65000000,6
Blackhat,-61994020,8005980,70000000,5.4
The Last Witch Hunter,-62632340,27367660,90000000,6
Fantastic Four,-63882452,56117548,120000000,4.3
Terminator Genisys,-65239044,89760956,155000000,6.3
In the Heart of the Sea,-74979242,25020758,100000000,6.9
Point Break,-76217519,28782481,105000000,5.3
The Good Dinosaur,-76912880,123087120,200000000,6.7
Le Petit Prince,-79860848,1339152,81200000,7.7
Tomorrowland,-96563678,93436322,190000000,6.4
Pan,-114911680,35088320,150000000,5.7
Jupiter Ascending,-128612277,47387723,176000000,5.3
2016,2257884089,10948984089,8691100000,1036
Rogue One,332177324,532177324,200000000,7.8
Deadpool,305070709,363070709,58000000,8
The Secret Life of Pets,293384330,368384330,75000000,6.5
Finding Dory,286295561,486295561,200000000,7.3
Sing,195395425,270395425,75000000,7.1
Zootopia,191268248,341268248,150000000,8
The Jungle Book,189001123,364001123,175000000,7.4
Captain America: Civil War,158084349,408084349,250000000,7.8
Suicide Squad,150100054,325100054,175000000,6
Hidden Figures,144607287,169607287,25000000,7.8
Split,129291365,138291365,9000000,7.3
La La Land,121101803,151101803,30000000,8
Moana,98757044,248757044,150000000,7.6
Bad Moms,93257297,113257297,20000000,6.2
Batman v Superman: Dawn of Justice,80360194,330360194,250000000,6.4
Don't Breathe,79317875,89217875,9900000,7.1
Sausage Party,78685686,97685686,19000000,6.1
Central Intelligence,77440871,127440871,50000000,6.3
The Purge: Election Year,69213375,79213375,10000000,6
Doctor Strange,67641920,232641920,165000000,7.5
Sully,65070033,125070033,60000000,7.4
The Conjuring 2,62470008,102470008,40000000,7.3
Lights Out,62368835,67268835,4900000,6.3
10 Cloverfield Lane,57082998,72082998,15000000,7.2
Fantastic Beasts and Where to Find Them,54037575,234037575,180000000,7.3
Arrival,53546139,100546139,47000000,7.9
Ride Along 2,51221830,91221830,40000000,5.9
Miracles from Heaven,48705123,61705123,13000000,7.1
Jason Bourne,42434410,162434410,120000000,6.6
The Accountant,42260045,86260045,44000000,7.3
My Big Fat Greek Wedding 2,41689605,59689605,18000000,6
Lion,39738905,51738905,12000000,8
Manchester by the Sea,38695371,47695371,9000000,7.8
The Shallows,38124043,55124043,17000000,6.3
Me Before You,36245075,56245075,20000000,7.4
Angry Birds,34509366,107509366,73000000,6.3
The Boss,34285885,63285885,29000000,5.4
Barbershop: The Next Cut,34030051,54030051,20000000,5.9
Fences,33682904,57682904,24000000,7.2
The Girl on the Train,30395035,75395035,45000000,6.5
Trolls,28707064,153707064,125000000,6.5
Hacksaw Ridge,27209615,67209615,40000000,8.1
Ouija: Origin of Evil,26144505,35144505,9000000,6.1
The Boy,25819556,35819556,10000000,6
Moonlight,23854932,27854932,4000000,7.4
Why Him?,22323786,60323786,38000000,6.2
Neighbors 2: Sorority Rising,20455765,55455765,35000000,5.7
Nerve,19583626,38583626,19000000,6.5
Risen,16880033,36880033,20000000,6.3
The Forest,16594261,26594261,10000000,4.8
Blair Witch,15777061,20777061,5000000,5
God's Not Dead 2,15774575,20774575,5000000,4.4
Hell or High Water,15007844,27007844,12000000,7.6
Money Monster,14012075,41012075,27000000,6.5
Mike and Dave Need Wedding Dates,13009673,46009673,33000000,6
Pete's Dragon,11233151,76233151,65000000,6.7
Dirty Grandpa,10593113,35593113,25000000,5.9
Office Christmas Party,9767494,54767494,45000000,5.8
How to Be Single,8843513,46843513,38000000,6.1
"Hail, Caesar!",8498085,30498085,22000000,6.3
Meet the Blacks,8197072,9097072,900000,4.8
Mother's Day,7492859,32492859,25000000,5.7
The Birth of a Nation,7361566,15861566,8500000,6.4
The Darkness,6753574,10753574,4000000,4.4
Fifty Shades of Black,6686940,11686940,5000000,3.5
Keanu,5591853,20591853,15000000,6.2
The Edge of Seventeen,5431633,14431633,9000000,7.3
The Belko Experiment,5166820,10166820,5000000,6.1
Jackie,4960394,13960394,9000000,6.7
The Magnificent Seven,3432655,93432655,90000000,6.9
War Dogs,3034523,43034523,40000000,7.1
13 Hours,2853219,52853219,50000000,7.3
Storks,2679278,72679278,70000000,6.8
London Has Fallen,2524260,62524260,60000000,5.9
Swiss Army Man,1210454,4210454,3000000,7
Batman: The Killing Joke,275000,3775000,3500000,6.4
Incarnate,-200226,4799774,5000000,5.3
31,-720180,779820,1500000,5.1
Bleed for This,-916094,5083906,6000000,6.8
Loving,-1248031,7751969,9000000,7
Jack Reacher: Never Go Back,-1302924,58697076,60000000,6.1
20th Century Women,-1335236,5664764,7000000,7.3
Kung Fu Panda 3,-1471381,143528619,145000000,7.1
Beta Test,-1589896,10104,1600000,5.7
The Hollars,-2783015,1016985,3800000,6.5
Paterson,-2847262,2152738,5000000,7.4
The 5th Wave,-3083213,34916787,38000000,5.2
Shut In,-3099665,6900335,10000000,4.8
Morgan,-4084749,3915251,8000000,5.8
Underworld: Blood Wars,-4646027,30353973,35000000,5.8
Collateral Beauty,-4983979,31016021,36000000,6.8
The Neon Demon,-5666876,1333124,7000000,6.2
The Bad Batch,-5819149,180851,6000000,5.3
Denial,-5926511,4073489,10000000,6.7
Queen of Katwe,-6125611,8874389,15000000,7.4
Max Steel,-6181336,3818664,10000000,4.6
Everybody Wants Some!!,-6599722,3400278,10000000,6.9
Mr. Church,-7314220,685780,8000000,7.6
Triple 9,-7360703,12639297,20000000,6.3
The Light Between Oceans,-7454021,12545979,20000000,7.2
Masterminds,-7631978,17368022,25000000,5.8
Bad Santa 2,-8217822,17782178,26000000,5.6
Miss Sloane,-9499395,3500605,13000000,7.5
Passengers,-9985301,100014699,110000000,7
Popstar: Never Stop Never Stopping,-10360875,9639125,20000000,6.7
Bridget Jones's Baby,-10747580,24252420,35000000,6.5
Nocturnal Animals,-11836643,10663357,22500000,7.5
Whiskey Tango Foxtrot,-11916666,23083334,35000000,6.6
Colossal,-11970713,3029287,15000000,6.2
Kubo and the Two Strings,-11976912,48023088,60000000,7.8
The Founder,-12213947,12786053,25000000,7.2
The Infiltrator,-12563192,15436808,28000000,7
Gold,-12772962,7227038,20000000,6.7
Patriots Day,-13113639,31886361,45000000,7.4
Resident Evil: The Final Chapter,-13169932,26830068,40000000,5.5
The Nice Guys,-13738237,36261763,50000000,7.4
Midnight Special,-14287718,3712282,18000000,6.6
Hands of Stone,-15287208,4712792,20000000,6.6
Ghostbusters,-15649426,128350574,144000000,5.2
Criminal,-16791304,14708696,31500000,6.3
Pride and Prejudice and Zombies,-17061866,10938134,28000000,5.8
Snowden,-18412481,21587519,40000000,7.3
Mechanic: Resurrection,-18781597,21218403,40000000,5.7
Café Society,-18896795,11103205,30000000,6.6
Collide,-19219996,2280004,21500000,5.7
Bastille Day,-19949731,50269,20000000,6.3
Zoolander 2,-21151307,28848693,50000000,4.7
The Lost City of Z,-21419590,8580410,30000000,6.6
X-Men: Apocalypse,-22557511,155442489,178000000,6.9
Miss Peregrine's Home for Peculiar Children,-22757166,87242834,110000000,6.7
Now You See Me 2,-24924460,65075540,90000000,6.5
Keeping Up with the Joneses,-25095574,14904426,40000000,5.9
A Hologram for the King,-25787506,4212494,30000000,6.1
Star Trek Beyond,-26151660,158848340,185000000,7.1
Grimsby,-28125163,6874837,35000000,6.2
Free State of Jones,-29189964,20810036,50000000,6.9
All I See Is You,-29782356,217644,30000000,5.4
A Cure for Wellness,-31893014,8106986,40000000,6.4
Billy Lynn's Long Halftime Walk,-38261523,1738477,40000000,6.2
Silence,-38899823,7100177,46000000,7.2
A Monster Calls,-39259177,3740823,43000000,7.5
Inferno,-40656426,34343574,75000000,6.2
Ice Age: Collision Course,-40936992,64063008,105000000,5.7
Allegiant,-43815949,66184051,110000000,5.7
Allied,-44901936,40098064,85000000,7.1
Deepwater Horizon,-48566473,61433527,110000000,7.1
The Finest Hours,-52430442,27569558,80000000,6.8
Teenage Mutant Ninja Turtles: Out of the Shadows,-52948399,82051601,135000000,6
The Legend of Tarzan,-53356939,126643061,180000000,6.2
Independence Day: Resurgence,-61855714,103144286,165000000,5.2
The Huntsman: Winter's War,-66609810,48390190,115000000,6.1
Assassin's Creed,-70352052,54647948,125000000,5.7
Ben-Hur,-73589523,26410477,100000000,5.7
The Promise,-81775712,8224288,90000000,6
The BFG,-84516230,55483770,140000000,6.4
Alice Through the Looking Glass,-92958619,77041381,170000000,6.2
Live by Night,-97621445,10378555,108000000,6.4
The Great Wall,-104459170,45540830,150000000,5.9
Gods of Egypt,-108846536,31153464,140000000,5.4
Warcraft,-112634710,47365290,160000000,6.8
2017,2902241972,10317141972,7414900000,835
Beauty and the Beast,344481165,504481165,160000000,7.1
Jumanji: Welcome to the Jungle,314540171,404540171,90000000,6.9
Star Wars: Episode VIII - The Last Jedi,303181382,620181382,317000000,7
It,293828874,328828874,35000000,7.3
Wonder Woman,263563408,412563408,149000000,7.4
Guardians of the Galaxy Vol. 2,189813101,389813101,200000000,7.6
Despicable Me 3,184624300,264624300,80000000,6.3
Get Out,171540665,176040665,4500000,7.7
Spider-Man: Homecoming,159201140,334201140,175000000,7.4
Thor: Ragnarok,135058289,315058289,180000000,7.9
Logan,129277068,226277068,97000000,8.1
Wonder,112422809,132422809,20000000,8
Girls Trip,96171585,115171585,19000000,6.2
The Lego Batman Movie,95750384,175750384,80000000,7.3
The Greatest Showman,90340174,174340174,84000000,7.6
Dunkirk,89740665,189740665,100000000,7.9
Annabelle: Creation,87092201,102092201,15000000,6.5
Baby Driver,73825862,107825862,34000000,7.6
The Upside,70752517,108252517,37500000,6.9
Pitch Perfect 3,59897530,104897530,45000000,5.8
Fifty Shades Darker,59581250,114581250,55000000,4.6
John Wick: Chapter 2,52029184,92029184,40000000,7.5
Happy Death Day,50883845,55683845,4800000,6.6
The Boss Baby,50003033,175003033,125000000,6.3
Murder on the Orient Express,47826543,102826543,55000000,6.5
The Hitman's Bodyguard,45468583,75468583,30000000,6.9
The Shape of Water,44459435,63859435,19400000,7.3
A Bad Moms Christmas,44110659,72110659,28000000,5.6
A Dog's Purpose,42508620,64508620,22000000,7.2
"Three Billboards Outside Ebbing, Missouri",39513740,54513740,15000000,8.2
Lady Bird,38958273,48958273,10000000,7.4
The Big Sick,37873127,42873127,5000000,7.5
The Shack,37386418,57386418,20000000,6.3
The Emoji Movie,36089513,86089513,50000000,3.3
Captain Underpants: The First Epic Movie,35921000,73921000,38000000,6.2
Daddy's Home 2,35029443,104029443,69000000,6
Coco,34726015,209726015,175000000,8.4
The Post,31903458,81903458,50000000,7.2
Jigsaw,28052832,38052832,10000000,5.8
Darkest Hour,26468410,56468410,30000000,7.4
"Everything, Everything",24121140,34121140,10000000,6.4
Wind River,22800859,33800859,11000000,7.7
How to Be a Latin Lover,22149404,32149404,10000000,6
Atomic Blonde,21687870,51687870,30000000,6.7
Going in Style,20018541,45018541,25000000,6.6
"I, Tonya",19014539,30014539,11000000,7.5
Gifted,17801212,24801212,7000000,7.6
Home Again,15020284,27020284,12000000,5.8
The Bye Bye Man,14995806,22395806,7400000,4.2
The Disaster Artist,11120616,21120616,10000000,7.4
Fist Fight,10187017,32187017,22000000,5.6
Kidnap,9971040,30971040,21000000,5.9
It Comes at Night,8985117,13985117,5000000,6.2
The Glass Castle,8273059,17273059,9000000,7.1
Before I Fall,7241122,12241122,5000000,6.4
All Eyez on Me,4922302,44922302,40000000,5.8
Chappaquiddick,4395520,17395520,13000000,6.5
The Florida Project,3904366,5904366,2000000,7.6
Snatched,3852178,45852178,42000000,4.5
American Assassin,3249674,36249674,33000000,6.2
Rings,2793018,27793018,25000000,4.5
The Circle,2497844,20497844,18000000,5.3
Wish Upon,2301505,14301505,12000000,5
Rough Night,2105643,22105643,20000000,5.2
A Ghost Story,1496371,1596371,100000,6.9
American Made,1342000,51342000,50000000,7.2
Paddington 2,891591,40891591,40000000,7.8
The Beguiled,209995,10709995,10500000,6.3
The Foreigner,-606493,34393507,35000000,7
Unforgettable,-631988,11368012,12000000,5.1
Logan Lucky,-1219023,27780977,29000000,7
Molly's Game,-1219256,28780744,30000000,7.4
Table 19,-1385104,3614896,5000000,5.8
Marshall,-1948341,10051659,12000000,7.2
Flatliners,-2116885,16883115,19000000,5.2
The Zookeeper's Wife,-2428340,17571660,20000000,7
Good Time,-2473501,2026499,4500000,7.4
Disobedience,-2501218,3498782,6000000,6.6
Thoroughbreds,-2927395,3072605,6000000,6.7
War for the Planet of the Apes,-3119838,146880162,150000000,7.4
Kingsman: The Golden Circle,-3765162,100234838,104000000,6.7
The Mountain Between Us,-4651445,30348555,35000000,6.4
The Death of Stalin,-4952144,8047856,13000000,7.2
The Vault,-4994272,5728,5000000,4.8
The Book of Henry,-5495026,4504974,10000000,6.6
CHIPS,-6399848,18600152,25000000,6
Father Figures,-7498756,17501244,25000000,5.5
Hostiles,-9180886,29819114,39000000,7.2
Sleepless,-9216296,20783704,30000000,5.6
The Dark Tower,-9298675,50701325,60000000,5.6
"Roman J. Israel, Esq.",-10037222,11962778,22000000,6.5
Thank You for Your Service,-10463700,9536300,20000000,6.5
The Lego Ninjago Movie,-10718445,59281555,70000000,6
Baywatch,-10939814,58060186,69000000,5.5
Mother!,-12199996,17800004,30000000,6.6
Battle of the Sexes,-12361474,12638526,25000000,6.7
Phantom Thread,-13801795,21198205,35000000,7.5
The House,-14415496,25584504,40000000,5.6
Power Rangers,-14635550,85364450,100000000,5.9
Smurfs: The Lost Village,-14979718,45020282,60000000,6
Kong: Skull Island,-16947188,168052812,185000000,6.6
Detroit,-17209861,16790139,34000000,7.3
Suburbicon,-19224822,5775178,25000000,5.7
Only the Brave,-19656017,18343983,38000000,7.6
Cars 3,-22098885,152901115,175000000,6.7
The Space Between Us,-22114706,7885294,30000000,6.4
Tulip Fever,-22544365,2455635,25000000,6.2
Alien: Covenant,-22737969,74262031,97000000,6.4
Wonder Wheel,-23595939,1404061,25000000,6.2
The Fate of the Furious,-23991615,226008385,250000000,6.7
The Current War,-24020460,5979540,30000000,6.5
All the Money in the World,-24886293,25113707,50000000,6.8
Stronger,-25788871,4211129,30000000,6.9
Ferdinand,-26589620,84410380,111000000,6.7
Life,-27765978,30234022,58000000,6.6
The Snowman,-28299965,6700035,35000000,5.1
The Ottoman Lieutenant,-39759022,240978,40000000,6.6
xXx: Return of Xander Cage,-40101587,44898413,85000000,5.2
Downsizing,-43550246,24449754,68000000,5.7
The Mummy,-44772105,80227895,125000000,5.4
Pirates of the Caribbean: Dead Men Tell No Tales,-57441124,172558876,230000000,6.6
Blade Runner 2049,-57945841,92054159,150000000,8
Ghost in the Shell,-69436443,40563557,110000000,6.3
Justice League,-70975705,229024295,300000000,6.3
Geostorm,-86299840,33700160,120000000,5.3
Transformers: The Last Knight,-86831317,130168683,217000000,5.2
King Arthur: Legend of the Sword,-135824934,39175066,175000000,6.7
Valerian and the City of a Thousand Planets,-136010512,41189488,177200000,6.5
2018,3912095127,10731775127,6819680000,857.1
Black Panther,500426566,700426566,200000000,7.3
Incredibles 2,408581744,608581744,200000000,7.6
Avengers: Infinity War,357815482,678815482,321000000,8.4
Jurassic World: Fallen Kingdom,247719760,417719760,170000000,6.2
Deadpool 2,214591735,324591735,110000000,7.7
The Grinch,195620950,270620950,75000000,6.3
A Star Is Born,179288866,215288866,36000000,7.7
Aquaman,175061807,335061807,160000000,6.9
A Quiet Place,171024361,188024361,17000000,7.5
Bohemian Rhapsody,164668042,216668042,52000000,8
