ID,ID,Genre List
508,11093,[['Drama']]
509,470,"[['Drama', 'Crime', 'Thriller']]"
510,13537,"[['Drama', 'History']]"
511,4997,[['Crime']]
512,1415,"[['Comedy', 'Drama', 'Crime']]"
513,9582,"[['Comedy', 'Romance']]"
514,1927,"[['Science Fiction', 'Action']]"
515,17473,"[['Comedy', 'Drama', 'Romance']]"
516,9620,"[['Action', 'Adventure', 'Mystery', 'Science Fiction', 'Thriller']]"
517,31246,"[['Comedy', 'Romance']]"
518,10944,"[['Drama', 'Mystery', 'Thriller']]"
519,10588,"[['Comedy', 'Adventure', 'Family', 'Fantasy']]"
520,2116,"[['Thriller', 'Crime', 'Drama']]"
521,8409,"[['Action', 'Drama']]"
522,12703,[['Drama']]
523,14576,"[['Action', 'Thriller', 'Crime']]"
524,11329,"[['Drama', 'Thriller']]"
525,605,"[['Adventure', 'Action', 'Thriller', 'Science Fiction']]"
526,8698,"[['Fantasy', 'Action', 'Thriller', 'Science Fiction']]"
527,9486,"[['Adventure', 'Action', 'Comedy']]"
528,1278,"[['Drama', 'Romance']]"
529,42532,"[['Horror', 'Science Fiction']]"
530,10756,"[['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']]"
531,11523,"[['Comedy', 'Romance', 'Drama']]"
532,10720,"[['Comedy', 'Romance']]"
533,10739,"[['Comedy', 'Romance']]"
534,10629,"[['Drama', 'Crime', 'Thriller']]"
535,64526,"[['Action', 'Adventure', 'Crime']]"
536,11615,"[['Drama', 'Thriller', 'Crime']]"
537,10610,"[['Thriller', 'Fantasy', 'Action', 'Comedy']]"
538,9471,"[['Action', 'Adventure', 'Comedy']]"
