ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
320,9034,10000000,10.604,2002-09-20,38068353,98,5.633,214,tt0280460
321,11547,1500000,21.071,2003-08-15,30553395,93,5.651,1107,tt0303816
322,9357,12000000,16.599,2002-08-21,52223306,96,6.65,1457,tt0265459
323,11362,35000000,34.703,2002-01-23,75395048,131,7.655,1525,tt0245844
324,36669,140000000,23.72,2002-11-17,431971116,133,5.956,3057,tt0246460
325,20616,8500000,13.27,2002-09-06,34411240,84,5.3,227,tt0283026
326,11442,13000000,21.595,2002-07-01,37664855,94,4.7,1073,tt0220506
327,10985,13000000,16.098,2002-05-10,31167388,88,5.906,490,tt0241760
328,590,25000000,16.89,2002-12-27,41597830,114,7.3,1455,tt0274558
329,11452,6000000,24.904,2002-03-29,39241323,92,6.012,1604,tt0283111
330,9266,25000000,13.667,2002-08-08,51842679,104,6.015,465,tt0300532
331,9533,78000000,7.208,2002-10-02,209196298,124,7.009,3707,tt0289765
332,14317,35000000,29.694,2002-12-20,0,85,6.5,228,tt0282120
333,12277,25000000,12.165,2002-05-31,41604473,86,5.845,317,tt0279493
334,1360,12000000,19.246,2002-08-29,56298474,123,7.432,1844,tt0120679
335,11056,10600000,11.835,2002-10-11,12241855,102,5.669,329,tt0273517
336,245,27000000,20.373,2002-04-26,129000000,101,6.7,1968,tt0276751
337,15028,26000000,18.554,2002-03-17,38793283,94,5.266,259,tt0157472
338,13950,14000000,14.725,2002-03-08,25482931,95,5.923,143,tt0278295
339,9645,35000000,39.93,2002-10-25,68349884,91,5.92,2068,tt0288477
340,13435,12500000,11.329,2002-12-19,23367586,120,6.827,396,tt0168786
341,1429,5000000,20.056,2002-12-19,24000000,135,7.345,2067,tt0307901
342,1576,33000000,26.719,2002-03-15,102984862,100,6.602,5574,tt0120804
343,11891,0,24.56,2002-01-25,0,81,6.331,541,tt0240468
344,9962,8000000,11.864,2002-01-12,16860964,93,6.3,545,tt0279113
345,4108,21000000,36.436,2002-10-02,43928932,92,6.685,4674,tt0293662
346,13768,15000000,18.346,2002-10-11,19158074,90,6.598,407,tt0283084
347,11022,6500000,10.957,2002-01-14,12633747,105,6.712,433,tt0272207
348,2637,32000000,23.72,2002-01-25,55305279,119,6.2,950,tt0265349
349,2757,19000000,17.965,2002-12-06,32801173,115,7.388,2130,tt0268126
350,10590,75000000,31.83,2002-03-01,114660784,138,7.1,1759,tt0277434
