original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
The Good German,2006,"Drama, Mystery, Romance",105,USA,English,Steven Soderbergh,"Paul Attanasio, Joseph Kanon","George Clooney, Cate Blanchett, Tobey Maguire, Beau Bridges, Tony Curran, Leland Orser, Jack Thompson, Robin Weigert, Ravil Isyanov, Christian Oliver, Dave Power, Don Pugsley, Dominic Comperatore, John Roeder, J. Paul Boehmer",George Clooney,"George Clooney, Cate Blanchett","While in post-war Berlin to cover the Potsdam Conference, an American military journalist is drawn into a murder investigation which involves his former mistress and his driver.",While in post-war Berlin to cover,6,23778,32000000,1308696,-30691304
Good Luck Chuck,2007,"Comedy, Romance",101,"USA, Canada",English,Mark Helfrich,"Josh Stolberg, Steve Glenn","Connor Price, Troy Gentile, Mackenzie Mowat, Sasha Pieterse, Caroline Ford, Dane Cook, Chelan Simmons, Dan Fogler, Natalie Morris, Ellia English, Tseng Chang, Michael Teigen, Chiara Zanni, Benjamin Ayres, Carrie Anne Fleming",Connor Price,"Connor Price, Troy Gentile","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love.",In order to keep the woman of,5.6,84719,25000000,35017297,10017297
Lady in the Water,2006,"Drama, Fantasy, Mystery",110,USA,English,M. Night Shyamalan,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban, Sarita Choudhury, Cindy Cheung, M. Night Shyamalan, Freddy Rodríguez, Bill Irwin, Mary Beth Hurt, Noah Gray-Cabey, Joseph D. Reitman, Jared Harris, Grant Monohon, John Boyd",Paul Giamatti,"Paul Giamatti, Bryce Dallas Howard","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",Apartment building superintendent,5.5,93773,70000000,42285169,-27714831
The Santa Clause 3: The Escape Clause,2006,"Adventure, Comedy, Family",97,"USA, Canada",English,Michael Lembeck,"Ed Decter, John J. Strauss","Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold, Wendy Crewson, Spencer Breslin, Liliana Mumy, Martin Short, Ann-Margret, Alan Arkin, Abigail Breslin, Art LaFleur, Aisha Tyler, Kevin Pollak, Jay Thomas",Tim Allen,"Tim Allen, Elizabeth Mitchell","Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from taking over Christmas.","Santa, aka Scott Calvin, is faced",4.7,31639,12000000,84500122,72500122
The Time Traveler's Wife,2009,"Drama, Fantasy, Romance",107,USA,English,Robert Schwentke,"Bruce Joel Rubin, Audrey Niffenegger","Michelle Nolden, Alex Ferris, Arliss Howard, Eric Bana, Katherine Trowell, Bart Bedford, Esther Jun, Matt Birman, Craig Snoyer, Rachel McAdams, Carly Street, Romyen Tangsubutra, Brooklynn Proulx, Jane McLean, Ron Livingston",Michelle Nolden,"Michelle Nolden, Alex Ferris","A Chicago librarian has a gene that causes him to involuntarily time travel, creating complications in his marriage.",A Chicago librarian has a gene,7.1,138570,39000000,63414846,24414846
Vacancy,2007,"Horror, Thriller",85,USA,English,Nimród Antal,Mark L. Smith,"Kate Beckinsale, Luke Wilson, Frank Whaley, Ethan Embry, Scott Anderson, Mark Casella, David Doty, Norm Compton, Caryn Mower, Meegan Godfrey, Kym Stys, Andrew Fiscella, Dale Waddington, Ernest Misko, Bryan Ross",Kate Beckinsale,"Kate Beckinsale, Luke Wilson","A married couple becomes stranded at an isolated motel and finds hidden video cameras in their room. They soon realize that unless they escape, they'll be the next victims of a snuff film.",A married couple becomes stranded,6.2,93037,19000000,19363565,363565
Mr. Bean's Holiday,2007,"Comedy, Family",90,"UK, France, Germany, USA",English,Steve Bendelack,"Rowan Atkinson, Richard Curtis","Rowan Atkinson, Steve Pemberton, Lily Atkinson, Preston Nyman, Sharlit Deyzac, Francois Touch, Emma de Caunes, Arsène Mosca, Stéphane Debac, Willem Dafoe, Philippe Spall, Jean Rochefort, Karel Roden, Maxim Baldry, Pascal Jounier",Rowan Atkinson,"Rowan Atkinson, Steve Pemberton","Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Mr. Bean wins a trip to Cannes,6.4,113282,25000000,33302167,8302167
Deja Vu,2006,"Action, Crime, Sci-Fi",126,"USA, UK",English,Tony Scott,"Bill Marsilii, Terry Rossio","Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel, Adam Goldberg, Elden Henson, Erika Alexander, Bruce Greenwood, Rich Hutchman, Matt Craven, Donna W. Scott, Elle Fanning, Brian Howe, Enrique Castillo, Mark Phinney",Denzel Washington,"Denzel Washington, Paula Patton","After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",After a ferry is bombed in New,7,288673,75000000,64038616,-10961384
TMNT,2007,"Animation, Action, Adventure",87,"Hong Kong, USA",English,Kevin Munroe,"Kevin Munroe, Peter Laird","Chris Evans, Sarah Michelle Gellar, Mako, Kevin Smith, Patrick Stewart, Ziyi Zhang, Laurence Fishburne, Mitchell Whitfield, James Arnold Taylor, Mikey Kelley, Nolan North, John DiMaggio, Paula Mattioli, Kevin Michael Richardson, Fred Tatasciore",Chris Evans,"Chris Evans, Sarah Michelle Gellar","When the world is threatened by an ancient evil, the four adolescent turtles must reunite and overcome their faults in order to stand against it.",When the world is threatened by,6.2,60617,34000000,54149098,20149098
42,2013,"Biography, Drama, Sport",128,USA,English,Brian Helgeland,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr.",Chadwick Boseman,"Chadwick Boseman, Harrison Ford","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",When a cockerel apparently flies,7.5,83372,40000000,95020213,55020213
Black Christmas,2006,Horror,84,"USA, Canada",English,Glen Morgan,"Glen Morgan, Roy Moore","Katie Cassidy, Michelle Trachtenberg, Mary Elizabeth Winstead, Lacey Chabert, Kristen Cloke, Andrea Martin, Yan-Kay Crystal Lowe, Oliver Hudson, Karin Konoval, Dean Friss, Robert Mann, Jessica Harmon, Leela Savasta, Kathleen Kole, Cainan Wiebe",Katie Cassidy,"Katie Cassidy, Michelle Trachtenberg","On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one.","On Christmas Eve, an escaped maniac",4.6,24399,9000000,16273581,7273581
Flyboys,2006,"Action, Drama, History",140,"UK, USA",English,Tony Bill,"Phil Sears, Blake T. Evans","James Franco, Scott Hazell, Mac McDonald, Philip Winchester, Todd Boyce, Karen Ford, Ruth Bradley, Abdul Salis, Jean-Philippe Écoffey, Tim Pigott-Smith, Tyler Labine, Gail Downey, David Ellison, Jean Reno, Augustin Legrand",James Franco,"James Franco, Scott Hazell","The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.",The adventures of the Lafayette,6.5,40815,60000000,13090630,-46909370
The Hills Have Eyes,2006,"Horror, Thriller",107,"USA, France, Romania",English,Alexandre Aja,"Wes Craven, Alexandre Aja","Maxime Giffard, Michael Bailey Smith, Tom Bower, Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin, Aaron Stanford, Vinessa Shaw, Maisie Camilleri Preziosi, Robert Joy, Laura Ortiz, Ezra Buzzington, Billy Drago, Greg Nicotero",Maxime Giffard,"Maxime Giffard, Michael Bailey Smith",A family falls victim to a group of mutated cannibals in a desert far away from civilization.,A family falls victim to a group,6.4,155984,15000000,41778863,26778863
Inside Man,2006,"Crime, Drama, Mystery",129,USA,English,Spike Lee,Russell Gewirtz,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Chiwetel Ejiofor, Carlos Andrés Gómez, Kim Director, James Ransone, Bernie Rachelle, Peter Gerety, Victor Colicchio, Cassandra Freeman, Peter Frechette, Gerry Vichi",Denzel Washington,"Denzel Washington, Clive Owen","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.","A police detective, a bank robber,",7.6,331649,45000000,88513495,43513495
Pulse,2006,"Horror, Sci-Fi",90,"USA, Romania, South Africa",English,Jim Sonzero,"Wes Craven, Ray Wright","Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez, Jonathan Tucker, Samm Levine, Octavia Spencer, Ron Rifkin, Joseph Gatt, Kel O'Neill, Zach Grenier, Riki Lindhome, John Burke, Mike J. Regan, Steve Tom",Kristen Bell,"Kristen Bell, Ian Somerhalder","When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",When their computer hacker friend,4.8,27819,20500000,20264436,-235564
The Pursuit of Happyness,2006,"Biography, Drama",117,USA,English,Gabriele Muccino,Steve Conrad,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer, Kevin West, George Cheung, David Michael Silverman, Domenic Bove, Geoff Callan, Joyful Raven, Scott Klace",Will Smith,"Will Smith, Jaden Smith",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,A struggling salesman takes custody,8,437433,55000000,163566459,108566459
She's the Man,2006,"Comedy, Romance, Sport",105,"USA, Canada",English,Andy Fickman,"Ewan Leslie, Karen McCullah","Amanda Bynes, Channing Tatum, Laura Ramsey, Vinnie Jones, David Cross, Julie Hagerty, Robert Hoffman, Alexandra Breckenridge, Jonathan Sadowski, Amanda Crew, Jessica Lucas, Brandon Jay McLaren, Clifton MaCabe Murray, James Snyder, James Kirk",Amanda Bynes,"Amanda Bynes, Channing Tatum","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",When her brother decides to ditch,6.3,143564,20000000,33741133,13741133
Turistas,2006,"Horror, Mystery, Thriller",93,USA,English,John Stockwell,Michael Arlen Ross,"Josh Duhamel, Melissa George, Olivia Wilde, Desmond Askew, Beau Garrett, Max Brown, Agles Steib, Miguel Lunardi, Jorge Só, Cristiani Aparecida, Lucy Ramos, Andrea Watrouse, Diego Santiago, Marcão, Miguelito Acosta",Josh Duhamel,"Josh Duhamel, Melissa George",A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.,A group of young backpackers',5.4,35564,10000000,7027762,-2972238
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,"Animation, Action, Adventure",86,USA,English,"Matt Maiellaro, Dave Willis","Matt Maiellaro, Dave Willis","Dana Snyder, Carey Means, Dave Willis, Andy Merrill, Mike Schatz, Matt Maiellaro, C. Martin Croker, Fred Armisen, Bruce Campbell, George Lowe, Chris Ward, Chris Kattan, Neil Peart, Isaac Hayes III, Tina Fey",Dana Snyder,"Dana Snyder, Carey Means","An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.",An action epic that explores the,6.7,13213,750000,5520368,4770368
The Crazies,2010,"Horror, Thriller",101,"USA, United Arab Emirates",English,Breck Eisner,"Scott Kosar, Ray Wright","Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker, Christie Lynn Smith, Brett Rickaby, Preston Bailey, John Aylward, Joe Reegan, Glenn Morshower, Larry Cedar, Gregory Sporleder, Mike Hickman, Lisa K. Wyatt, Justin Welborn",Timothy Olyphant,"Timothy Olyphant, Radha Mitchell","After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",After a strange and insecure plane,6.5,110013,20000000,39123589,19123589
Garfield: A Tale of Two Kitties,2006,"Animation, Adventure, Comedy",82,"UK, USA",English,Tim Hill,"Joel Cohen, Alec Sokolow","Breckin Meyer, Jennifer Love Hewitt, Billy Connolly, Bill Murray, Ian Abercrombie, Roger Rees, Lucy Davis, Lena Cardwell, Veronica Alicino, Jane Carr, Oliver Muirhead, JB Blanc, Vernee Watson, Russell Milton, Ben Falcone",Breckin Meyer,"Breckin Meyer, Jennifer Love Hewitt","Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",Jon and Garfield visit the United,5,38026,60000000,28426747,-31573253
Madea's Family Reunion,2006,"Comedy, Drama, Romance",107,USA,English,Tyler Perry,"Tyler Perry, Tyler Perry","Tyler Perry, Blair Underwood, Lynn Whitfield, Boris Kodjoe, Lisa Arrindell, Maya Angelou, Rochelle Aytes, Jenifer Lewis, Tangi Miller, Keke Palmer, Henry Simmons, Cicely Tyson, China Anderson, Akhil Jackson, Alonzo Millsap",Tyler Perry,"Tyler Perry, Blair Underwood","While planning her family reunion, a pistol-packing grandma must contend with the other dramas on her plate, including the runaway who has been placed under her care, and her love-troubled nieces.","While planning her family reunion,",5.2,10453,6000000,63318000,57318000
Dead Silence,2007,"Horror, Mystery, Thriller",89,USA,English,James Wan,"Leigh Whannell, James Wan","Ryan Kwanten, Amber Valletta, Donnie Wahlberg, Michael Fairman, Joan Heney, Bob Gunton, Laura Regan, Dmitry Chepovetsky, Judith Roberts, Keir Gilchrist, Steven Taylor, David Talbot, Steve Adams, Shelley Peterson, Enn Reitel",Ryan Kwanten,"Ryan Kwanten, Amber Valletta","A young widower returns to his hometown to search for answers to his wife's murder, which may be linked to the ghost of a murdered ventriloquist.",A young widower returns to his,6.2,83440,20000000,16809076,-3190924
The Hunting Party,2007,"Adventure, Comedy, Drama",101,"USA, Croatia, Bosnia and Herzegovina",English,Richard Shepard,"Richard Shepard, Scott Anderson","Terrence Howard, Richard Gere, Gordana Vukres, James Brolin, Sanela Seferagic, Damir Saban, Aleksandra Grdic, Jesse Eisenberg, John W. Falk, Scott Anderson, Harald Doornbos, Philippe Deprez, Erich Rathfelder, Zan Marolt, Ljubomir Kerekes",Terrence Howard,"Terrence Howard, Richard Gere","A young journalist, a seasoned cameraman and a discredited war correspondent embark on an unauthorized mission to find the No.1 war criminal in Bosnia. However, their extremely dangerous target decides to come after them.","A young journalist, a seasoned",6.8,24412,25000000,969869,-24030131
Australia,2008,"Adventure, Comedy, Drama",165,"UK, Australia, USA",English,Baz Luhrmann,"Stuart Beattie, Baz Luhrmann","Shea Adams, Eddie Baroo, Ray Barrett, Tony Barry, Jamal Sydney Bednarz, Damian Bradford, Bryan Brown, Nathin Butler, Tara Carpenter, Rebecca Chatfield, Lillian Crombie, Max Cullen, Essie Davis, Arthur Dignam, Michelle Dyzla",Shea Adams,"Shea Adams, Eddie Baroo","Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",Set in northern Australia before,6.6,117975,130000000,49554002,-80445998
When a Stranger Calls,2006,"Horror, Thriller",87,USA,English,Simon West,"Jake Wade Wall, Steve Feke","Camilla Belle, Tommy Flanagan, Katie Cassidy, Tessa Thompson, Brian Geraghty, Clark Gregg, Derek de Lint, Kate Jennings Grant, David Denman, Arthur Young, Madeline Carroll, Steve Eastin, John Bobek, Brad Surosky, Karina Logue",Camilla Belle,"Camilla Belle, Tommy Flanagan","During a babysitting gig, a high-school student is harassed by an increasingly threatening prank caller.","During a babysitting gig, a high-school",5.1,42431,15000000,47860214,32860214
The Equalizer,2014,"Action, Crime, Thriller",132,USA,English,Antoine Fuqua,"Richard Wenk, Michael Sloan","Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Haley Bennett, Bill Pullman, Melissa Leo, David Meunier, Johnny Skourtis, Alex Veadov, Vladimir Kulich, E. Roger Mitchell, James Wilcox, Mike O'Dea, Anastasia Mousis Sanidopoulos",Denzel Washington,"Denzel Washington, Marton Csokas","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by.",A man believes he has put his,7.2,325508,55000000,101530738,46530738
Goya's Ghosts,2006,"Biography, Drama, History",113,"USA, Spain",English,Milos Forman,"Milos Forman, Jean-Claude Carrière","Javier Bardem, Natalie Portman, Stellan Skarsgård, Randy Quaid, José Luis Gómez, Michael Lonsdale, Blanca Portillo, Mabel Rivera, Unax Ugalde, Fernando Tielve, David Calder, Frank Baker, Ramón Langa, Manuel de Blas, Andrés Lima",Javier Bardem,"Javier Bardem, Natalie Portman","Painter Francisco Goya faces a scandal involving his muse, who is labeled a heretic by a monk.",Painter Francisco Goya faces a,6.9,29032,50000000,1000626,-48999374
The Hitcher,2007,"Crime, Thriller",84,USA,English,Dave Meyers,"Eric Red, Jake Wade Wall","Sean Bean, Sophia Bush, Zachary Knighton, Neal McDonough, Kyle Davis, Skip O'Brien, Travis Schuldt, Danny Bolero, Jeffrey Hutchinson, Yara Martinez, Lauren Cohn, Michael J. Fisher, Joe Self, Brad Robinson, Kurt Grossi",Sean Bean,"Sean Bean, Sophia Bush",A serial killer pins his crimes on two college students who gave him a ride.,A serial killer pins his crimes,5.6,40111,10000000,16472961,6472961
John Tucker Must Die,2006,"Comedy, Romance",89,"USA, Canada",English,Betty Thomas,Jeff Lowell,"Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush, Arielle Kebbel, Penn Badgley, Jenny McCarthy, Terrell J. Ramsey, Kevin McNulty, Patricia Drake, Amanda Li, Jeffrey Ballard, Taylor Kitsch, Steve Bacic, Dean Wray",Jesse Metcalfe,"Jesse Metcalfe, Brittany Snow",Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.,Three ex-girlfriends of a serial,5.8,78531,18000000,41011711,23011711
Land of the Lost,2009,"Action, Adventure, Comedy",102,USA,English,Brad Silberling,"Chris Henchy, Dennis McNicholas","Will Ferrell, Anna Friel, Danny McBride, Jorma Taccone, John Boylan, Matt Lauer, Bobb'e J. Thompson, Sierra McCormick, Shannon Lemke, Steven Wash Jr., Brian Huskey, Kevin Buitrago, Noah Crawford, Jon Kent Ethridge, Logan Manus",Will Ferrell,"Will Ferrell, Anna Friel","On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.","On his latest expedition, Dr.",5.3,64796,100000000,49438370,-50561630
Mr. Magorium's Wonder Emporium,2007,"Comedy, Family, Fantasy",93,"USA, Canada",English,Zach Helm,Zach Helm,"Ted Ludzik, Natalie Portman, Zach Mills, Dustin Hoffman, Madalena Brancatella, Paula Boudreau, Mike Realba, Steve Whitmire, Liam Powley-Webster, Marcia Bennett, Jason Bateman, Oliver Masuda, Samantha Harvey, Jesse Bostick, Isaac Durnford",Ted Ludzik,"Ted Ludzik, Natalie Portman","The young apprentice of a magical, eccentric toy store owner learns to believe in herself, and in her friends, upon learning some grave news about the future.","The young apprentice of a magical,",6.2,42042,65000000,32061555,-32938445
Perfect Stranger,2007,"Crime, Horror, Mystery",109,USA,English,James Foley,"Todd Komarnicki, Jon Bokenkamp","Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow, Gary Dourdan, Florencia Lozano, Nicki Aycox, Kathleen Chalfant, Gordon MacDonald, Daniella Van Graas, Paula Miranda, Patti D'Arbanville, Clea Lewis, Amara Zaragoza, Gerry Becker",Halle Berry,"Halle Berry, Bruce Willis","A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",A journalist goes undercover to,5.7,44367,60795000,23984949,-36810051
Stormbreaker,2006,"Action, Adventure, Family",93,"UK, USA, Germany",English,Geoffrey Sax,"Anthony Horowitz, Anthony Horowitz","Sarah Bolger, Robbie Coltrane, Stephen Fry, Damian Lewis, Ewan McGregor, Bill Nighy, Sophie Okonedo, Alex Pettyfer, Missi Pyle, Mickey Rourke, Andy Serkis, Alicia Silverstone, Ashley Walters, Alex Barrett, Richard Huw",Sarah Bolger,"Sarah Bolger, Robbie Coltrane","After the death of his uncle, the 14-year-old schoolboy Alex Rider is forced by the Special Operations Division of the UK's secret intelligence service, MI6, into a mission which will save millions of lives.","After the death of his uncle,",5.1,23178,40000000,677646,-39322354
Nacho Libre,2006,"Comedy, Family, Sport",92,"USA, Mexico",English,Jared Hess,"Jared Hess, Jerusha Hess","Jack Black, Ana de la Reguera, Héctor Jiménez, Darius Rose, Moises Arias, Diego Eduardo Gomez, Carlos Maycotte, Richard Montoya, Cesar Gonzalez, Rafael Montalvo, Julio Sandoval, Ventura 'Tigre Hispano' Lahoz, Felipe Jesus 'Terror Chino' Hernandez, Enrique Muñoz, Carla Jimenez",Jack Black,"Jack Black, Ana de la Reguera","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",Berated all his life by those,5.8,80182,35000000,80197993,45197993
Scoop,2006,"Comedy, Crime, Fantasy",96,"UK, USA",English,Woody Allen,Woody Allen,"Jim Dunk, Robert Bathurst, Geoff Bell, Christopher Fulford, Nigel Lindsay, Ian McShane, Fenella Woolgar, Pete Mastin, Doreen Mantle, David Schneider, Meera Syal, Kevin McNally, Robyn Kerr, Richard Stirling, Scarlett Johansson",Jim Dunk,"Jim Dunk, Robert Bathurst","An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.",An American journalism student,6.7,79554,4000000,10525717,6525717
The Holiday,2006,"Comedy, Romance",136,USA,English,Nancy Meyers,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach, Edward Burns, Rufus Sewell, Miffy Englefield, Emma Pritchard, Sarah Parish, Shannyn Sossamon, Bill Macy, Shelley Berman, Kathryn Hahn, John Krasinski",Cameron Diaz,"Cameron Diaz, Kate Winslet","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",Two women troubled with guy-problems,6.9,237300,85000000,63224849,-21775151
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",124,USA,English,Joe Johnston,"Christopher Markus, Stephen McFeely","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Hugo Weaving, Dominic Cooper, Richard Armitage, Stanley Tucci, Samuel L. Jackson, Toby Jones, Neal McDonough, Derek Luke, Kenneth Choi, JJ Feild, Bruno Ricci",Chris Evans,"Chris Evans, Hayley Atwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.","Steve Rogers, a rejected military",6.9,723473,140000000,176654505,36654505
The Devil Wears Prada,2006,"Comedy, Drama",109,"USA, France",English,David Frankel,"Aline Brosh McKenna, Lauren Weisberger","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker, Adrian Grenier, Tracie Thoms, Rich Sommer, Daniel Sunjata, David Marshall Grant, James Naughton, Tibor Feldman, Rebecca Mader, Jimena Hoyos, Gisele Bündchen",Meryl Streep,"Meryl Streep, Anne Hathaway","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",A smart but sensible new graduate,6.9,362466,35000000,124740460,89740460
Sin City: A Dame to Kill For,2014,"Action, Crime, Thriller",102,USA,English,"Frank Miller, Robert Rodriguez","Frank Miller, Frank Miller","Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt, Rosario Dawson, Bruce Willis, Eva Green, Powers Boothe, Dennis Haysbert, Ray Liotta, Christopher Meloni, Jeremy Piven, Christopher Lloyd, Jaime King, Juno Temple",Mickey Rourke,"Mickey Rourke, Jessica Alba",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,Some of Sin City's most hard-boiled,6.5,150021,65000000,13757804,-51242196
X-Men Origins: Wolverine,2009,"Action, Adventure, Sci-Fi",107,"USA, UK",English,Gavin Hood,"David Benioff, Skip Woods","Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am, Lynn Collins, Kevin Durand, Dominic Monaghan, Taylor Kitsch, Daniel Henney, Ryan Reynolds, Tim Pocock, Julia Blake, Max Cullen, Troye Sivan, Michael-James Olsen",Hugh Jackman,"Hugh Jackman, Liev Schreiber","The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","The early years of James Logan,",6.6,459736,150000000,179883157,29883157
In the Name of the King: A Dungeon Siege Tale,2007,"Action, Adventure, Fantasy",127,"Germany, Canada, USA",English,Uwe Boll,"Doug Taylor, Jason Rappaport","Jason Statham, Leelee Sobieski, John Rhys-Davies, Ron Perlman, Claire Forlani, Kristanna Loken, Matthew Lillard, Brian White, Mike Dopud, Will Sanderson, Tania Saulnier, Ray Liotta, Burt Reynolds, Gabrielle Rose, Terence Kelly",Jason Statham,"Jason Statham, Leelee Sobieski","A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.",A man named Farmer sets out to,3.8,43913,60000000,4775656,-55224344
The Fall,2006,"Adventure, Drama, Fantasy",117,"USA, South Africa, India",English,Tarsem Singh,"Dan Gilroy, Nico Soultanakis","Catinca Untaru, Justine Waddell, Lee Pace, Kim Uylenbroek, Aiden Lithgow, Sean Gilder, Ronald France, Andrew Roussouw, Michael Huff, Grant Swanby, Emil Hostina, Robin Smith, Jeetu Verma, Leo Bill, Marcus Wesley",Catinca Untaru,"Catinca Untaru, Justine Waddell","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",In a hospital on the outskirts,7.9,105844,30000000,2266905,-27733095
Enchanted,2007,"Animation, Comedy, Family",107,USA,English,Kevin Lima,Bill Kelly,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Rachel Covey, Susan Sarandon, Julie Andrews, Jeff Bennett, Kevin Lima, Emma Rose Lima, Teala Dunn, Fred Tatasciore, Courtney Williams, William Huntley",Amy Adams,"Amy Adams, Patrick Dempsey","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",A young maiden in a land called,7,173962,85000000,127807262,42807262
Black Snake Moan,2006,"Drama, Music",116,USA,English,Craig Brewer,Craig Brewer,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams, Leonard L. Thomas, Ruby Wilson, Claude Phillips, Amy Lavere, Clare Grant",Samuel L. Jackson,"Samuel L. Jackson, Christina Ricci","A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, looks everywhere for love, never quite finding it.",A God-fearing bluesman takes to,6.9,60390,15000000,9396870,-5603130
